uat_siruta,nr_alegatori,nr_voturi,PMP,PSD,PNL,USR_PLUS,PRO_ROMANIA,AUR,UDMR
157585,1916,611,33,251,99,85,14,74.0,3
157683,2114,544,15,136,181,70,31,51.0,9
157736,1424,423,21,160,76,28,15,81.0,21
157781,2298,694,9,171,311,43,28,52.0,11
157834,10193,4089,301,483,994,1709,106,214.0,114
157898,2448,889,29,476,143,82,16,87.0,6
157923,1394,475,18,180,93,83,13,41.0,6
157969,957,539,63,206,130,45,30,45.0,5
158010,3955,1059,61,237,217,224,43,166.0,21
158065,4845,1130,43,251,351,224,31,123.0,7
158109,4220,991,27,305,191,157,47,216.0,7
158136,919,524,10,165,145,18,82,44.0,1
158181,2875,768,63,187,236,98,30,102.0,9
158243,2588,846,71,302,152,114,53,108.0,10
158314,8358,2147,95,800,438,311,72,230.0,43
158396,2440,732,36,158,221,208,28,44.0,9
158449,2990,888,99,130,244,166,37,95.0,51
158528,4126,899,54,140,287,110,49,195.0,11
158564,8633,2189,310,353,455,515,147,224.0,29
158608,381,168,6,27,98,15,6,7.0,3
158653,6553,1858,90,259,560,520,82,178.0,24
158699,7079,2205,231,382,477,639,80,192.0,36
158733,2873,609,19,176,121,78,32,152.0,6
158779,3927,1440,84,390,305,364,59,97.0,64
158804,1805,659,128,98,215,32,16,121.0,6
158859,3813,781,58,101,248,57,35,212.0,20
158895,1804,659,52,173,245,44,36,41.0,5
158966,2314,614,30,102,210,106,18,90.0,9
159035,2430,607,8,100,209,61,9,62.0,125
159071,1909,657,57,270,84,38,50,94.0,9
159142,2573,528,53,120,95,69,24,97.0,26
159213,5424,1511,27,105,136,201,689,219.0,46
159259,2423,774,52,279,184,65,31,104.0,7
159339,2093,527,22,131,145,81,40,58.0,4
159366,1818,694,13,430,105,40,17,50.0,9
159375,1713,312,5,32,127,20,7,84.0,5
159384,3070,728,31,123,243,178,32,74.0,3
159393,1505,425,11,93,175,76,8,41.0,3
159400,1741,314,28,66,78,56,12,35.0,1
159419,2256,476,24,64,191,47,4,99.0,3
159428,2302,572,16,232,142,46,15,98.0,3
159437,2047,680,31,112,241,186,12,45.0,6
159446,1753,579,21,79,288,100,13,52.0,3
159455,2182,537,26,194,64,58,30,141.0,1
159464,2634,794,56,89,277,107,17,191.0,4
159473,3085,627,16,257,82,61,11,157.0,11
159482,1186,376,8,77,147,27,16,78.0,3
159491,1378,265,4,61,101,36,8,39.0,3
159507,1861,398,14,165,54,31,16,100.0,3
159516,2014,921,220,179,208,168,27,71.0,5
159525,1541,332,20,23,41,44,65,17.0,77
159614,72079,20550,612,5695,5495,3324,1291,2455.0,62
159650,8046,1955,48,796,584,126,59,256.0,12
159687,4224,1085,52,283,246,131,125,183.0,6
159730,8873,2007,92,496,658,229,61,380.0,8
159767,3401,899,62,270,265,115,41,78.0,7
159785,3787,907,15,380,198,41,112,122.0,5
159847,1334,426,7,245,57,8,42,52.0,3
159883,652,158,6,42,50,18,8,21.0,4
159945,2516,458,25,205,60,20,66,54.0,3
159963,2228,564,33,140,179,30,21,127.0,8
160047,620,240,7,118,55,7,19,19.0,1
160092,2040,437,16,122,167,21,37,57.0,1
160127,3097,749,16,383,128,42,18,122.0,6
160172,1643,361,6,86,75,25,100,44.0,5
160225,1726,417,13,89,160,14,29,80.0,4
160261,1020,387,25,106,134,38,22,33.0,2
160305,1614,430,7,83,254,7,8,58.0,1
160323,1124,255,18,105,51,7,14,47.0,5
160387,3074,798,27,279,165,85,54,132.0,2
160430,4293,802,20,202,278,78,30,154.0,5
160458,1134,293,7,50,146,15,16,46.0,0
160476,1147,471,10,112,216,16,43,56.0,2
160528,1199,453,13,233,65,27,25,62.0,4
160564,1859,564,13,105,299,28,34,66.0,2
160617,4524,951,19,244,319,141,32,143.0,10
160644,3696,1192,30,731,195,72,25,97.0,10
160680,3546,774,23,175,190,64,134,150.0,4
160724,2199,678,8,311,182,59,33,59.0,5
160779,800,288,12,43,123,22,13,52.0,3
160831,2151,460,17,214,79,20,19,82.0,4
160877,2630,646,18,295,146,34,41,78.0,3
160911,2982,778,39,144,247,83,106,124.0,4
160993,2121,528,5,84,218,22,60,88.0,1
161035,3801,807,45,267,103,60,49,239.0,4
161053,2372,705,34,296,147,57,37,76.0,3
161106,1533,354,10,211,52,15,11,32.0,1
161133,497,145,3,56,45,10,9,17.0,2
161151,1416,413,19,228,40,9,8,99.0,2
161179,5618,1160,43,322,311,236,42,138.0,10
161231,706,193,6,68,56,30,4,15.0,1
161259,1950,395,9,159,133,12,21,40.0,3
161286,903,207,7,80,64,10,3,30.0,1
161302,4235,1052,29,162,407,142,70,195.0,2
161348,1198,688,4,153,436,9,12,51.0,0
161384,3599,920,20,345,210,55,58,169.0,12
161464,2670,532,22,226,118,34,30,81.0,2
161482,2934,752,25,289,182,49,67,93.0,3
161525,997,335,34,83,146,26,14,23.0,1
161543,1798,479,11,207,91,93,11,53.0,1
161552,1503,365,20,113,99,30,25,52.0,2
161561,1169,305,6,71,103,15,22,75.0,2
161794,58238,14773,506,4122,4406,2503,874,1506.0,47
161829,30620,6044,175,2277,1240,716,287,989.0,69
161856,8125,2070,68,587,632,185,134,324.0,22
161945,123087,17113,645,5547,3405,3260,955,2057.0,105
162014,2431,600,25,283,106,53,23,63.0,3
162069,1214,391,10,114,176,26,8,25.0,2
162149,1283,464,11,190,170,18,30,19.0,6
162194,4519,1352,35,261,610,150,48,129.0,9
162327,2376,647,34,172,217,35,30,116.0,1
162381,3107,725,8,411,125,34,17,79.0,7
162452,1303,437,13,277,48,40,12,27.0,1
162498,3974,879,22,426,114,58,81,122.0,8
162559,1109,334,6,204,43,11,20,28.0,3
162595,1242,326,20,83,125,22,16,37.0,5
162693,2551,884,14,582,85,40,26,92.0,1
162791,1214,326,16,109,77,15,48,30.0,8
162871,1588,555,10,99,211,19,81,101.0,1
162924,2025,565,31,293,91,35,12,64.0,13
163002,3512,759,19,203,275,68,29,104.0,10
163057,1601,352,17,200,35,15,15,24.0,6
163137,2294,593,15,187,182,44,51,63.0,4
163208,1447,443,20,147,145,22,22,41.0,8
163253,1610,349,24,144,75,16,24,31.0,5
163324,1916,529,47,159,181,35,18,57.0,3
163379,1832,482,30,138,139,45,16,68.0,12
163486,3689,846,34,293,88,49,226,74.0,12
163618,3935,1103,40,268,297,58,240,121.0,11
163681,3559,730,23,247,95,50,126,144.0,8
163734,2811,652,36,305,100,42,44,89.0,9
163789,2447,588,42,302,90,39,18,50.0,3
163832,4442,942,23,402,203,84,38,129.0,5
163903,1571,450,17,174,72,29,78,54.0,1
163967,2039,633,41,444,58,13,9,30.0,3
164062,1831,666,63,414,67,34,20,37.0,3
164133,2922,715,15,233,248,53,29,91.0,2
164197,2136,808,34,548,115,13,6,59.0,5
164277,1954,556,11,126,238,24,25,88.0,3
164339,3295,925,31,546,133,23,23,104.0,5
164393,3458,607,19,277,87,52,34,97.0,5
164543,2208,505,11,240,80,59,17,73.0,4
164598,2634,586,22,202,112,103,20,84.0,3
164687,3314,956,20,483,135,47,27,175.0,3
164749,2953,816,9,300,161,45,47,208.0,9
164829,1807,505,11,265,93,19,63,22.0,4
164892,2076,597,23,268,78,29,54,106.0,7
164936,3658,999,19,255,397,103,37,128.0,8
164981,5740,1175,27,592,179,67,102,138.0,13
165069,2148,556,14,168,138,30,35,123.0,7
165130,2395,510,17,177,136,18,17,97.0,7
165185,3178,745,17,325,89,26,35,203.0,8
165274,3051,729,29,226,97,60,155,102.0,10
165336,2381,674,9,390,60,45,47,57.0,8
165416,2558,739,34,223,311,20,36,60.0,3
