Code,Localitate,Shannon,Simpson,Inverse Simpson
11735,Pilu,0.8090202291743158,-18.70477809955199,0.05074911247149422
11762,Plescuta,0.03886195175180214,-19.99172199730654,0.04763782600247424
11842,Savarsin,0.09862952764194777,-17.978925710705614,0.05269002130272953
11940,Secusigiu,0.8607094382278437,-15.739538052728562,0.05973880502855328
11995,Seleus,0.05239039175055271,-18.989351282564556,0.05002663597553746
12037,Semlac,0.9320701502107409,-14.713839670470891,0.06363816998077042
12055,Sintea Mare,1.638309409356263,-16.38138184904801,0.05753282498967541
12091,Oras Santana,0.7976725082910747,-14.742241152418526,0.06352335670111159
12126,Socodor,0.6537057363113626,-17.78095594605211,0.05324542599814825
12144,Sagu,0.6736541858812851,-13.79661755826591,0.0675830132165148
12206,Seitin,0.6005577905168082,-15.800147451658486,0.05952328709479758
12224,Sepreus,0.6166352604576686,-17.759057220163246,0.05330758301249522
12242,Sicula,0.16805019762175077,-15.961096299511656,0.05895845305876791
12288,Silindia,0.7045426995240193,-16.75659897105482,0.056317090994176776
12340,Simand,0.6988814634278286,-17.764583424583066,0.05329188383100059
12368,Siria,0.8279744404558522,-15.719239362318774,0.05981133341829918
12402,Sistarovat,0.0760346956656914,-19.981596679734302,0.04766081510688267
12457,Taut,0.2192655659821195,-16.949973439236,0.055710388841810045
12509,Tarnova,0.6507314940462462,-15.777918395275641,0.059602149470555414
12572,Varadia De Mures,0.06621923467694607,-17.987138168318214,0.05266723142451198
12643,Vinga,1.7894226758199565,-13.392854729511326,0.06947891983857692
12689,Varfurile,0.13310960579889636,-17.96745780371644,0.052721878195192945
12778,Zabrani,0.19278440193415436,-15.956240773200989,0.058975336183034195
12812,Zarand,0.22582543828861384,-18.933281298345356,0.050167355039684766
12849,Zerind,0.5643088720326324,-18.804536080989703,0.050493482700657455
12876,Zimandu Nou,1.0891004602105818,-16.51852833289725,0.057082420452073325
12912,Dorobanti,0.6043001107350997,-16.798794864874388,0.056183579146332124
12920,Frumuseni,0.3465767310078976,-16.908698301838747,0.055838787562651974
12938,Zadareni,0.268772226961812,-17.931224743837756,0.05282278423774494
13169,Municipiul Pitesti,0.08884752531350609,-4.982925430807481,0.16714231383375872
13187,Bascov,0.07987092724425282,-17.982147741797995,0.05268107769480882
13276,Bradu,0.10972513405392695,-18.972771555559383,0.05006816391096467
13301,Oras Mioveni,0.068010080669983,-15.98536687079531,0.05887420669843776
13365,Maracineni,0.1309861677921764,-17.967026570439796,0.05272307687692624
13392,Oras Stefanesti,0.36364143774616936,-16.879850707860957,0.055928878620912954
13490,Municipiul Campulung,0.1589787767891246,-14.958986888222759,0.0626606191861696
13524,Valea Mare Pravat,0.7790137216024182,-19.645178787330646,0.04843745894870483
13622,Municipiul Curtea De Arges,0.05968337535154525,-14.988731767655956,0.06254404755372327
13668,Oras Costesti,0.10611322963203589,-18.973092925102357,0.05006735830799602
13757,Oras Topoloveni,0.04094989955983924,-17.991962058226115,0.052653854137564654
