,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
Jordan,-68.09326424870466,-64.58031088082902,-74.79274611398966,12.89005235602093,12.225130890052355,20.837696335078533,1.6593582887700542,-3.222994652406417,-2.7844919786096254,-3.7700534759358293,-1.3342245989304813,12.1994652406417,0.4625668449197846,3.6282722513089,-133.5130890052356,-2.5751295336787563
Kazakhstan,78.90673575129534,6.419689119170982,152.20725388601034,35.89005235602093,341.22513089005236,78.83769633507853,5.659358288770054,-3.322994652406417,1.7155080213903746,-3.2700534759358293,-1.2342245989304812,-0.10053475935829681,5.662566844919784,-1.3717277486911001,1.4869109947644006,-2.5751295336787563
Kenya,219.90673575129534,229.41968911917098,213.20725388601034,7.890052356020931,29.225130890052355,13.837696335078533,7.659358288770054,11.277005347593583,-2.384491978609625,9.52994652406417,1.865775401069519,-19.0005347593583,8.662566844919784,-13.3717277486911,280.4869109947644,-2.5751295336787563
Kiribati,9.906735751295344,3.4196891191709824,13.207253886010335,-79.10994764397907,-98.77486910994764,-59.16230366492147,12.659358288770054,-3.322994652406417,-3.7844919786096254,-3.370053475935829,1.2657754010695188,-21.100534759358297,0.2625668449197853,-3.3717277486911,280.4869109947644,-2.5751295336787563
Kuwait,-151.09326424870466,-125.58031088082902,-182.79274611398966,-53.10994764397907,-62.774869109947645,-47.16230366492147,-8.640641711229947,-3.322994652406417,2.815508021390375,-4.070053475935829,-1.3342245989304813,-7.700534759358298,-6.837433155080214,9.6282722513089,-111.5130890052356,-2.5751295336787563
Kyrgyzstan,19.906735751295344,-17.580310880829018,55.207253886010335,-25.10994764397907,230.22513089005236,8.837696335078533,4.659358288770054,-3.322994652406417,1.5155080213903744,-3.170053475935829,-1.2342245989304812,0.5994652406416989,5.462566844919785,-2.3717277486911,-4.513089005235599,-2.5751295336787563
Lao People's Democratic Republic,98.90673575129534,124.41968911917098,75.20725388601034,18.89005235602093,104.22513089005236,60.83769633507853,6.659358288770054,-3.322994652406417,-2.7844919786096254,-3.370053475935829,4.565775401069519,-8.700534759358298,7.862566844919787,-10.3717277486911,22.4869109947644,-2.5751295336787563
Latvia,-11.093264248704656,-70.58031088082902,50.207253886010335,24.89005235602093,110.22513089005236,50.83769633507853,-9.340641711229946,-3.322994652406417,6.2155080213903755,-4.070053475935829,-1.3342245989304813,9.999465240641705,-10.037433155080215,5.6282722513089,-56.5130890052356,-2.5751295336787563
Lebanon,-55.093264248704656,-45.58031088082902,-61.792746113989665,-41.10994764397907,81.22513089005236,16.837696335078533,-8.340641711229946,-3.322994652406417,5.915508021390375,-4.070053475935829,-1.3342245989304813,21.699465240641707,-10.137433155080215,2.6282722513089,-121.5130890052356,-2.5751295336787563
Lesotho,291.90673575129534,246.41968911917098,360.20725388601034,7.890052356020931,32.225130890052355,6.837696335078533,-5.440641711229945,52.87700534759359,-2.884491978609625,-4.070053475935829,-1.2342245989304812,-10.400534759358301,-6.5374331550802145,-26.3717277486911,413.4869109947644,-2.5751295336787563
Liberia,220.90673575129534,217.41968911917098,223.20725388601034,37.89005235602093,113.22513089005236,188.83769633507853,7.659358288770054,0.2770053475935832,-3.384491978609625,14.82994652406417,4.665775401069519,-14.100534759358297,11.762566844919785,-22.3717277486911,147.4869109947644,-2.5751295336787563
Libyan Arab Jamahiriya,-75.09326424870466,-72.58031088082902,-85.79274611398966,-52.10994764397907,39.225130890052355,-26.162303664921467,-0.9406417112299454,-3.222994652406417,-2.484491978609625,-4.070053475935829,-1.2342245989304812,12.399465240641703,-2.7374331550802147,6.6282722513089,-116.5130890052356,-2.5751295336787563
Lithuania,-32.093264248704656,-84.58031088082902,23.207253886010335,29.89005235602093,19.225130890052355,54.83769633507853,-9.040641711229945,-3.322994652406417,12.315508021390373,-4.070053475935829,-1.3342245989304813,-1.8005347593582997,-5.937433155080215,5.6282722513089,-62.5130890052356,-2.5751295336787563
Luxembourg,-134.09326424870466,-120.58031088082902,-148.79274611398966,2.890052356020931,-194.77486910994764,-30.162303664921467,-9.340641711229946,-3.322994652406417,9.815508021390375,-4.070053475935829,-1.3342245989304813,10.799465240641702,-10.137433155080215,14.6282722513089,-125.5130890052356,-2.5751295336787563
Madagascar,62.906735751295344,69.41968911917098,57.207253886010335,15.89005235602093,58.225130890052355,30.837696335078533,7.659358288770054,-2.0229946524064166,-2.6844919786096253,16.029946524064172,3.665775401069519,-17.600534759358297,9.462566844919785,-8.3717277486911,78.4869109947644,-1.5751295336787563
Malawi,274.90673575129534,275.419689119171,274.20725388601034,18.89005235602093,58.225130890052355,23.837696335078533,8.659358288770054,10.677005347593584,-3.384491978609625,10.02994652406417,-1.0342245989304812,-21.5005347593583,11.362566844919787,-22.3717277486911,285.4869109947644,-2.5751295336787563
Malaysia,-71.09326424870466,-72.58031088082902,-73.79274611398966,7.890052356020931,-97.77486910994764,-31.162303664921467,-3.9406417112299454,-1.922994652406417,2.615508021390375,-3.970053475935829,-0.43422459893048126,18.5994652406417,-7.237433155080215,5.6282722513089,-30.5130890052356,-2.5751295336787563
Maldives,-57.093264248704656,-26.580310880829018,-87.79274611398966,-8.10994764397907,112.22513089005236,-11.162303664921467,10.659358288770054,-2.622994652406417,-2.584491978609625,-3.470053475935829,-1.2342245989304812,1.8994652406417032,6.262566844919785,0.6282722513088999,-70.5130890052356,-2.5751295336787563
Mali,192.90673575129534,199.41968911917098,199.20725388601034,34.89005235602093,84.22513089005236,63.83769633507853,8.659358288770054,-1.7229946524064168,-3.6844919786096253,12.82994652406417,4.765775401069519,-17.3005347593583,12.662566844919784,-19.3717277486911,148.4869109947644,-2.5751295336787563
Malta,-157.09326424870466,-133.58031088082902,-179.79274611398966,-7.109947643979069,-157.77486910994764,-57.16230366492147,-9.340641711229946,-3.322994652406417,0.9155080213903748,-4.070053475935829,-1.3342245989304813,23.499465240641705,-11.237433155080215,13.6282722513089,-132.5130890052356,-2.5751295336787563
Marshall Islands,97.90673575129534,110.41968911917098,84.20725388601034,-6.109947643979069,154.22513089005236,-19.162303664921467,4.659358288770054,-3.022994652406417,-1.9844919786096251,-4.070053475935829,-0.8342245989304813,-6.100534759358297,2.2625668449197853,-2.3717277486911,108.4869109947644,-2.5751295336787563
Mauritania,45.906735751295344,50.41968911917098,48.207253886010335,26.89005235602093,79.22513089005236,56.83769633507853,6.659358288770054,-3.022994652406417,-3.1844919786096253,8.12994652406417,0.36577540106951867,-3.8005347593582997,11.062566844919786,-12.3717277486911,138.4869109947644,-1.5751295336787563
Mauritius,-57.093264248704656,-66.58031088082902,-47.792746113989665,-52.10994764397907,62.225130890052355,-39.16230366492147,-8.140641711229947,-3.322994652406417,0.11550802139037497,-4.070053475935829,-1.3342245989304813,22.7994652406417,-7.337433155080214,4.6282722513089,-115.5130890052356,-2.5751295336787563
Mexico,-93.09326424870466,-88.58031088082902,-97.79274611398966,-43.10994764397907,-208.77486910994764,-23.162303664921467,-4.240641711229946,-3.222994652406417,1.9155080213903748,-4.070053475935829,-1.3342245989304813,9.299465240641702,-2.7374331550802147,7.6282722513089,-107.5130890052356,-2.5751295336787563
Micronesia (Federated States of),-28.093264248704656,-4.580310880829018,-50.792746113989665,-38.10994764397907,38.225130890052355,-42.16230366492147,-1.3406417112299458,-3.022994652406417,-2.384491978609625,-4.070053475935829,0.1657754010695187,5.999465240641705,0.06256684491978604,0.6282722513088999,-11.5130890052356,-2.5751295336787563
Monaco,-132.09326424870466,-127.58031088082902,-136.79274611398966,-11.10994764397907,-256.77486910994764,-40.16230366492147,0.0,8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,-7.105427357601002e-15,-3.552713678800501e-15,15.6282722513089,-136.5130890052356,-2.5751295336787563
Mongolia,32.906735751295344,10.419689119170982,52.207253886010335,174.89005235602093,116.22513089005236,14.837696335078533,5.659358288770054,-3.022994652406417,-0.6844919786096249,-3.070053475935829,-1.0342245989304812,-9.100534759358297,5.862566844919787,-1.3717277486911001,59.4869109947644,-2.5751295336787563
Montenegro,-89.09326424870466,-89.58031088082902,-89.79274611398966,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,-7.105427357601002e-15,-3.552713678800501e-15,0.0,0.0,-2.5751295336787563
Morocco,-94.09326424870466,-81.58031088082902,-105.79274611398966,-64.10994764397907,39.225130890052355,-33.16230366492147,2.659358288770054,-3.022994652406417,-1.0844919786096252,-3.670053475935829,-1.1342245989304813,1.4994652406417046,2.7625668449197853,2.6282722513089,-27.5130890052356,-2.5751295336787563
Mozambique,188.90673575129534,196.41968911917098,184.20725388601034,-7.109947643979069,-0.7748691099476446,-15.162303664921467,7.659358288770054,9.577005347593584,-4.084491978609625,14.82994652406417,-1.0342245989304812,-14.200534759358298,9.962566844919785,-20.3717277486911,243.4869109947644,-2.5751295336787563
Myanmar,51.906735751295344,37.41968911917098,66.20725388601034,-16.10994764397907,60.225130890052355,23.837696335078533,11.659358288770054,-2.422994652406417,-3.084491978609625,4.929946524064171,1.0657754010695186,-4.100534759358297,8.062566844919786,-5.3717277486911,31.4869109947644,-2.5751295336787563
Namibia,102.90673575129534,107.41968911917098,103.20725388601034,14.89005235602093,13.225130890052355,11.837696335078533,-6.840641711229946,49.677005347593585,-2.084491978609625,-4.070053475935829,-1.2342245989304812,-4.700534759358298,-8.237433155080215,-14.3717277486911,524.4869109947645,-2.5751295336787563
Nauru,165.90673575129534,125.41968911917098,193.20725388601034,6.890052356020931,294.22513089005236,50.83769633507853,28.659358288770054,-3.322994652406417,14.315508021390373,-4.070053475935829,4.165775401069519,-36.2005347593583,19.062566844919786,-2.3717277486911,-20.5130890052356,-2.5751295336787563
Nepal,70.90673575129534,108.41968911917098,36.207253886010335,-13.10994764397907,64.22513089005236,26.837696335078533,11.659358288770054,-3.1229946524064167,-2.7844919786096254,-3.2700534759358293,1.365775401069519,0.29946524064170177,7.262566844919785,-5.3717277486911,59.4869109947644,-2.5751295336787563
Netherlands,-145.09326424870466,-120.58031088082902,-169.79274611398966,23.89005235602093,-200.77486910994764,-58.16230366492147,-9.340641711229946,-3.322994652406417,0.11550802139037497,-4.070053475935829,-1.3342245989304813,19.899465240641703,-10.137433155080215,13.6282722513089,-130.5130890052356,-2.5751295336787563
New Zealand,-143.09326424870466,-120.58031088082902,-164.79274611398966,7.890052356020931,-196.77486910994764,-44.16230366492147,-9.140641711229947,-3.322994652406417,6.315508021390375,-4.070053475935829,-1.3342245989304813,5.099465240641699,-8.537433155080215,13.6282722513089,-128.5130890052356,-2.5751295336787563
Nicaragua,-63.093264248704656,-57.58031088082902,-69.79274611398966,-11.10994764397907,-66.77486910994764,-8.162303664921467,2.659358288770054,-2.822994652406417,-2.084491978609625,-3.670053475935829,-1.3342245989304813,-0.8005347593582997,2.4625668449197846,3.6282722513089,-58.5130890052356,-2.5751295336787563
Niger,270.90673575129534,277.419689119171,256.20725388601034,37.89005235602093,84.22513089005236,81.83769633507853,10.659358288770054,-2.722994652406417,-3.6844919786096253,10.229946524064172,5.965775401069519,-26.5005347593583,13.862566844919787,-21.3717277486911,13.4869109947644,3.4248704663212437
Nigeria,192.90673575129534,207.41968911917098,180.20725388601034,25.89005235602093,80.22513089005236,50.83769633507853,6.659358288770054,1.677005347593583,-3.1844919786096253,20.029946524064172,4.965775401069519,-17.100534759358297,8.862566844919787,-15.3717277486911,129.4869109947644,53.424870466321245
Niue,-53.093264248704656,-104.58031088082902,-14.792746113989665,-57.10994764397907,-32.774869109947645,-42.16230366492147,0.0,8.881784197001252e-16,0.0,-8.881784197001252e-16,0.0,-7.105427357601002e-15,-3.552713678800501e-15,2.6282722513089,-91.5130890052356,-2.5751295336787563
Norway,-144.09326424870466,-126.58031088082902,-162.79274611398966,5.890052356020931,-190.77486910994764,-46.16230366492147,-9.040641711229945,-3.322994652406417,1.115508021390375,-4.070053475935829,-1.3342245989304813,10.799465240641702,-9.837433155080214,14.6282722513089,-133.5130890052356,-2.5751295336787563
Oman,-87.09326424870466,-90.58031088082902,-101.79274611398966,-26.10994764397907,37.225130890052355,-40.16230366492147,-1.2406417112299462,-3.022994652406417,-0.9844919786096256,-3.970053475935829,-1.3342245989304813,-0.9005347593583011,-4.0374331550802145,6.6282722513089,-127.5130890052356,-2.5751295336787563
Pakistan,-11.093264248704656,17.419689119170982,-39.792746113989665,-24.10994764397907,53.225130890052355,17.837696335078533,4.659358288770054,-3.322994652406417,-2.984491978609625,-3.370053475935829,1.0657754010695186,12.499465240641705,8.062566844919786,-4.3717277486911,41.4869109947644,116.42487046632124
Palau,-11.093264248704656,-5.580310880829018,-17.792746113989665,-39.10994764397907,24.225130890052355,-42.16230366492147,0.3593582887700535,-3.022994652406417,-2.584491978609625,-4.070053475935829,-0.6342245989304813,3.7994652406417018,1.1625668449197857,2.6282722513089,-81.5130890052356,-2.5751295336787563
Panama,-117.09326424870466,-102.58031088082902,-130.79274611398966,-23.10994764397907,-189.77486910994764,-32.16230366492147,1.6593582887700542,-0.922994652406417,-1.2844919786096254,-3.870053475935829,-1.3342245989304813,-0.8005347593582997,-0.43743315508021396,8.6282722513089,-86.5130890052356,-2.5751295336787563
Papua New Guinea,56.906735751295344,65.41968911917098,45.207253886010335,-13.10994764397907,70.22513089005236,22.837696335078533,5.659358288770054,-3.022994652406417,-2.7844919786096254,-3.2700534759358293,0.7657754010695188,-7.8005347593583,7.262566844919785,-5.3717277486911,110.4869109947644,-2.5751295336787563
Paraguay,-97.09326424870466,-84.58031088082902,-111.79274611398966,9.89005235602093,-80.77486910994764,-24.162303664921467,1.6593582887700542,-3.1229946524064167,-1.2844919786096254,-3.7700534759358293,-1.2342245989304812,10.299465240641702,0.6625668449197857,4.6282722513089,-67.5130890052356,-2.5751295336787563
Peru,-52.093264248704656,-38.58031088082902,-65.79274611398966,43.89005235602093,-181.77486910994764,-12.162303664921467,2.659358288770054,-2.422994652406417,4.415508021390375,-3.670053475935829,-1.3342245989304813,-4.700534759358298,2.362566844919785,3.6282722513089,85.4869109947644,-2.5751295336787563
Philippines,-6.093264248704656,-27.580310880829018,11.207253886010335,-40.10994764397907,-35.774869109947645,-23.162303664921467,2.659358288770054,-3.322994652406417,-2.384491978609625,-3.670053475935829,-0.13422459893048133,-6.3005347593583,2.1625668449197857,1.6282722513088999,165.4869109947644,0.4248704663212437
Poland,-77.09326424870466,-101.58031088082902,-53.792746113989665,48.89005235602093,-47.774869109947645,-28.162303664921467,-9.240641711229946,-3.322994652406417,0.5155080213903744,-4.070053475935829,-1.3342245989304813,15.899465240641703,-8.537433155080215,8.6282722513089,-104.5130890052356,-2.5751295336787563
Portugal,-118.09326424870466,-121.58031088082902,-114.79274611398966,8.89005235602093,-163.77486910994764,-48.16230366492147,-9.240641711229946,-3.222994652406417,3.915508021390375,-3.970053475935829,-1.3342245989304813,4.6994652406417,-9.437433155080214,11.6282722513089,-93.5130890052356,-2.5751295336787563
Qatar,-151.09326424870466,-110.58031088082902,-189.79274611398966,-56.10994764397907,-31.774869109947645,-41.16230366492147,-0.9406417112299454,-3.222994652406417,0.11550802139037497,-4.070053475935829,-1.3342245989304813,-13.600534759358297,-3.5374331550802145,7.6282722513089,-73.5130890052356,-2.5751295336787563
Republic of Korea,-115.09326424870466,-125.58031088082902,-106.79274611398966,37.89005235602093,-185.77486910994764,-14.162303664921467,-8.940641711229945,-3.322994652406417,6.115508021390374,-4.070053475935829,-1.1342245989304813,28.2994652406417,-9.437433155080214,10.6282722513089,-67.5130890052356,-2.5751295336787563
Republic of Moldova,0.9067357512953436,-32.58031088082902,40.207253886010335,-15.10994764397907,247.22513089005236,15.837696335078533,-7.340641711229946,-3.322994652406417,8.215508021390376,-4.070053475935829,-1.3342245989304813,2.899465240641703,4.262566844919785,2.6282722513089,-1.5130890052355994,-2.5751295336787563
Romania,-56.093264248704656,-81.58031088082902,-32.792746113989665,9.89005235602093,107.22513089005236,-25.162303664921467,-6.840641711229946,-3.222994652406417,3.5155080213903744,-4.070053475935829,-1.3342245989304813,-1.8005347593582997,15.862566844919787,5.6282722513089,-3.5130890052355994,-2.5751295336787563
Russian Federation,83.90673575129534,-26.580310880829018,181.20725388601034,20.89005235602093,316.22513089005236,135.83769633507853,-6.840641711229946,-2.922994652406417,6.915508021390375,-4.070053475935829,-1.3342245989304813,-2.400534759358301,-4.937433155080215,0.6282722513088999,-26.5130890052356,-2.5751295336787563
