Code,Localitate,Shannon,Simpsone,Inverse Simpson
4767,Horea,0.21917642491160508,0.06766613053103265,1.0725771451052974
4927,Ighiu,0.22196306449819656,0.06181930911009548,1.0658927536138665
4981,Intregalde,-0.0,0.0,1.0
5103,Jidvei,1.0271198000601023,0.4146940747075307,1.7085082463505112
5167,Livezile,0.08633220093481295,0.01871811873067475,1.019075170028068
5210,Lopadea Noua,1.0262272163662056,0.5015176432931203,2.0060890552000528
5309,Lunca Muresului,1.2947099650097853,0.5304777407388725,2.12982447642348
5336,Lupsa,-0.0,0.0,1.0
5577,Metes,0.05043339167913209,0.00998355715719701,1.0100842336805331
5700,Mihalt,0.11796383229246676,0.028682660701241813,1.0295296496219755
5755,Miraslau,1.08721979483054,0.4609258529576348,1.8550323837388758
5826,Mogos,-0.0,0.0,1.0
6048,Noslac,0.8440031345440518,0.3182708121231107,1.4668581275129238
6119,Ocolis,-0.0,0.0,1.0
6164,Ohaba,0.17575512828488662,0.05131569075928977,1.0540914298459947
6217,Pianu,0.06994149243275571,0.013858229143946743,1.014052978540719
6271,Poiana Vadului,-0.0,0.0,1.0
6397,Ponor,-0.0,0.0,1.0
6468,Posaga,-0.0,0.0,1.0
6547,Radesti,0.8554772081432924,0.34296073570953434,1.5219790571875433
6592,Rametea,0.5890537061366501,0.23367761530671616,1.304933824163631
6627,Ramet,-0.0,0.0,1.0
6761,Rosia Montana,0.5793237388021548,0.22951025229727817,1.2978758029961874
6930,Rosia De Secas,0.34475252506291587,0.10554423328598117,1.117998270248423
6976,Salciua,-0.0,0.0,1.0
7044,Salistea,-0.0,0.0,1.0
7099,Sasciori,0.0638037766608028,0.013616463895228526,1.0138044314374912
7197,Scarisoara,0.6275160148603522,0.2649464513283012,1.3604451020025423
7348,Sancel,0.32622511724120107,0.10512811407358058,1.117478396323454
7384,Santimbru,0.1909866896130149,0.04894849412136293,1.0514677636477128
7446,Sohodol,0.16527275644076483,0.04753557736676117,1.0499079821116484
7767,Stremt,0.04620894856710808,0.01015631600877187,1.010260525144556
7810,Sibot,0.2087072820923857,0.06362534626038796,1.0679485994268283
7865,Sona,1.1122049610613987,0.44785553944728584,1.811120225672405
7945,Spring,0.28830446496141815,0.08251473177172475,1.0899357566046441
8014,Sugag,0.029756110043301295,0.006051381478812123,1.0060882236426019
8096,Oras Teius,0.6523307782579334,0.22043694811579972,1.2827698767700761
8158,Unirea,1.1075541744290844,0.427839022387282,1.7477598772506222
8229,Vadu Motilor,-0.0,0.0,1.0
8354,Valea Lunga,0.44920505152625456,0.13091046489790825,1.1506294341497625
8425,Vidra,0.019561461433557595,0.003715157411227299,1.0037290112751025
8826,Vintu De Jos,0.23664048134432203,0.058800468618319335,1.0624739671640084
9019,Cut,0.11830528622013912,0.031473429802056696,1.0324961965634296
9026,Bucerdea Granoasa,1.2454477612902768,0.49849473247883025,1.9939970021507054
9262,Municipiul Arad,0.7984441789127142,0.253005829810137,1.3386985332774828
9280,Fantanele,0.7806895858244711,0.24166143610235113,1.3186722232089565
9333,Livada,0.5752860783507943,0.18857769262298973,1.2324038800862929
