Siruta,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
17049,56.0,210.0,66.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17101,174.0,802.0,1110.0,338.0,910.0,2748.0,3028.0,2158.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17254,0.0,0.0,0.0,0.0,0.0,0.0,36.0,120.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
17334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,3438.0,3616.0,4634.0
17423,0.0,2588.0,2228.0,1636.0,1340.0,2326.0,1416.0,1878.0,1020.0,852.0,866.0,844.0,596.0,0.0,0.0,0.0
17496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4162.0,6872.0,6554.0,9946.0,14590.0,16002.0
17726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,460.0,0.0,0.0,0.0,0.0,0.0,264.0
17771,28796.0,7988.0,3390.0,5292.0,3160.0,5076.0,2436.0,1070.0,3172.0,4058.0,3780.0,2018.0,1712.0,914.0,4280.0,5424.0
17824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,334.0,138.0,230.0,984.0,2818.0
18331,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18527,3002.0,9712.0,6904.0,1152.0,3900.0,1834.0,4850.0,4882.0,3248.0,2706.0,6776.0,10838.0,12438.0,28080.0,33692.0,30634.0
18554,330.0,140.0,188.0,200.0,168.0,714.0,550.0,288.0,196.0,98.0,0.0,0.0,48.0,0.0,248.0,722.0
18670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,0.0,0.0,0.0
18858,11352.0,6222.0,6204.0,4226.0,4568.0,3610.0,442.0,0.0,168.0,80.0,0.0,0.0,166.0,306.0,0.0,836.0
19631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,36.0,0.0,0.0,0.0
19695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,1150.0
20063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4198.0,4684.0,6698.0,6196.0
